"","Product","Harvest.Year","Harvest.Season","Grow.Out.Method","Lease.Footprint..Acres.","Year","Date","Equipment","Fuel","Maintenance","Consumables","Cost of Goods Sold","Year.1","Cost of Production","Debt","Individual Scallops","ShellHeight (mm)","ShellHeight (Inches)","Adductor (g)","Adductor (lb)","Adductor Count per lb","Run Rate (Whole Scallop)","Break Even Price (Whole Scallop)","Run Rate (Adductor)","Break Even Price (Adductor)","Year.2","Insurance","Aquaculture License","Owner Salary","Full Time Employee","Depreciation","Fixed Overhead Costs","Sea.Days","Totalequipment","TotalLabor","TotalFuel","TotalMaint","TotalFOC","Longlines"
"1116",210000,"2-3 Years","November-January","Ear Hanging",10.5469829469597,10,Aug 2035,0,17018,21120,600,88430.24,10,245855.56,2933180,155757,72.93,2.87,9.7,0.02,46.76,1.58,2.09,73.81,97.84,10,6000,1200,66174,49630.5,33366.1185,157425.316794696,127,399082.22425,462512.144,161470,200000,1716715.63224166,4
"1117",220000,"2-3 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,17554,21760,600,91900.272,10,250622.25,2987520.08,163174,72.93,2.87,9.7,0.02,46.76,1.54,2.03,71.82,95.13,10,6000,1200,66174,49630.5,34399.1003333333,158721.973201703,131,408457.530166667,483158.432,166294,205760,1730450.1168854,5
"1118",230000,"2-3 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,18358,22720,600,95958.304,10,255247.68,3033915.71,170591,72.93,2.87,9.7,0.02,46.76,1.5,1.98,69.97,92.4,10,6000,1200,66174,49630.5,34966.4988333333,159289.371701703,137,410850.469416667,504687.04,173932,214880,1736166.1978854,5
"1119",240000,"2-3 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,18894,23360,600,99428.336,10,259286.82,3073280.83,178008,72.93,2.87,9.7,0.02,46.76,1.46,1.92,68.11,89.7,10,6000,1200,66174,49630.5,35535.614,159858.48686837,141,413253.775333333,525333.328,178756,220640,1741897.7288854,5
"1120",250000,"2-3 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,19430,24000,600,101663.12,10,262090.72,3102704.73,185425,72.93,2.87,9.7,0.02,46.76,1.41,1.86,66.09,86.94,10,6000,1200,66174,49630.5,36104.7291666667,160427.602035037,145,415657.08125,534862.384,184116,227040,1747629.2598854,5
"1121",260000,"2-3 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,20636,25440,600,107838.4,10,268830.6,3168096.79,192842,72.93,2.87,9.7,0.02,46.76,1.39,1.83,65.19,85.36,10,6000,1200,66174,49630.5,36669.3276666667,160992.200535037,154,418022.0205,567508.224,195372,240480,1753314.5408854,5
"1122",270000,"2-3 Years","November-January","Ear Hanging",13.1837286836996,10,Aug 2035,0,21038,25920,600,110485.04,10,272046.36,3200051.38,200259,72.93,2.87,9.7,0.02,46.76,1.36,1.78,63.52,83.02,10,6000,1200,66174,49630.5,37238.4428333333,161561.315701703,157,420425.326416667,583389.984,198990,244800,1759046.0718854,5
"1123",280000,"2-3 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,21976,27040,600,115366.464,10,278227.24,3268917.11,207676,72.93,2.87,9.7,0.02,46.76,1.34,1.75,62.65,81.78,10,6000,1200,66174,49630.5,38274.2246666667,162860.772108711,164,429828.632333333,609683.12,207834,255360,1772811.35652915,6
"1124",290000,"2-3 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,22780,28000,600,118895.104,10,282323.27,3310547.89,215093,72.93,2.87,9.7,0.02,46.76,1.31,1.71,61.38,79.97,10,6000,1200,66174,49630.5,38841.6231666667,163428.170608711,170,432221.571583333,625564.88,215874,264960,1778527.43752915,6
"1125",300000,"2-3 Years","November-January","Ear Hanging",15.8204744204396,10,Aug 2035,0,23852,29280,600,124776.384,10,288773.67,3373378.57,222510,72.93,2.87,9.7,0.02,46.76,1.3,1.68,60.69,78.77,10,6000,1200,66174,49630.5,39410.7383333333,163997.285775377,178,434624.8775,658210.72,225924,276960,1784258.96852915,6
